하늘누리 웹사이트 구축프로젝트 IA			

구분	1Depth	2Depth	3Depth	ID	로그인 여부	반응형 여부	설명	비고
하늘누리
웹/모바일	메인			HN_Main_001	N	Y		
	회원가입			HN_Join_001	N	Y		회원가입 항목 : 성명, 이메일, 핸드폰번호
		가입완료		HN_Join_002	N	Y		
	로그인			HN_Login_001	N	Y		
		아이디 찾기		HN_Login_Idsearch_001	N	Y		
		비밀번호 찾기		HN_Login_Pwsearch_001	N	Y		
	회원정보	회원정보 보기		HN_MemInfo_View_001	Y	Y		
		회원정보 수정		HN_MemInfo_Modi_001	Y	Y		
		비빌번호 변경		HN_MemInfo_Pwmodi_001	Y	Y		
	하늘누리 소개	인사말		HN_Introdu_Greeting_001	N	Y		
		하늘누리 이야기		HN_Introdu_Hnstory_001	N	Y		
		재단/허가 현황		HN_Introdu_Perarti_001	N	Y		
		오시는 길		HN_Introdu_Way_001	N	Y		
	시설안내	봉안당(하늘누리관)		HN_Facil_Bongan_001	N	Y		
		수목장(자연장)		HN_Facil_Naburial_001	N	Y		
		부대시설		HN_Facil_Aditinal_001	N	Y		
		주변 둘러보기		HN_Facil_Surround_001	N	Y		
	분양안내	분양절차		HN_DistriInfo_Distriproce_001	N	Y		
		분양가격		HN_DistriInfo_Distriprice_001	N	Y		
		사전청약 혜택		HN_DistriInfo_Applibenefit_001	N	Y		
	사이버 추모관	고인 검색		HN_Memorial_Deadsearch_001	N	Y		
			검색결과	HN_Memorial_Deadresult_001	N	Y	검색결과 항목 : 성함, 기일, 안치장소(oo관, Z열, 번호)	
		하늘 편지	목록	HN_Memorial_Letterlist_001	N	Y		
			글쓰기	HN_Memorial_Letterregi_001	N	Y		
			상세	HN_Memorial_Letterview_001	N	Y		
			수정	HN_Memorial_Lettermodi_001	N	Y		
	고객센터	공지사항	목록	HN_Customer_Noticelist_001	N	Y		
			상세	HN_Customer_Noticeview_001	N	Y		
		자주묻는 질문		HN_Customer_Faq_001	N	Y		FAQ는 한 페이지로 제목 선택 시 답변글이 슬라이딩되어 노출되는 형태로 HTML로 구성
		1:1 상담 신청	목록	HN_Customer_Councellist_001	Y	Y		전체 목록과 나의 상담을 탭으로 구성
			글쓰기	HN_Customer_Councelregi_001	Y	Y		
			상세	HN_Customer_Councelview_001	Y	Y		
			수정	HN_Customer_Councelmodi_001	Y	Y		
		자료실	목록	HN_Customer_Referenlist_001	N	Y		
			상세	HN_Customer_Referenview_001	N	Y		첨부파일 기능 구현
	(스카이스크레퍼)	전화상담		HN_Phonecouncel_Info_001P	N	Y		상담전화번호 필요
		카카오톡		 -	N	Y		
		부로슈어 신청	신청하기	HN_Brochure_Application_001	Y	Y		브로슈어 PDF 파일 필요
								
하늘누리
관리자	로그인			HNA_Login_001	N	N		
		아이디찾기		HNA_Login_002P	N	N		
			아이디찾기 결과	HNA_Login_003P	N	N		
		비밀번호찾기		HNA_Login_004P	N	N		
			비밀번호찾기 결과	HNA_Login_005P	N	N		
	관리자 관리	목록		HNA_Admag_list_001	Y	N		관리자 관리 필요 여부?
--> 관리자가 복수로 존재할 것이라 생각이 듭니다. 필요할 때 관리자로 등록하여 사용할 수 있어야 하므로 관리자 관리는 필요할 것으로 생각됩니다.
		등록		HNA_Admag_Regi_001	Y	N		
		상세		HNA_Admag_view_001	Y	N		
		수정		HNA_Admag_Modi_001	Y	N		
	회원관리	목록		HNA_Memmag_List_001	Y	N		
		상세		HNA_Memmag_View_001	Y	N		
		수정		HNA_Memmag_Modi_001	Y	N		
	사이버 추모관	고인 관리	목록	HNA_Deadmag_List_001	Y	N		
			등록	HNA_Deadmag_Regi_001	Y	N		
			상세	HNA_Deadmag_View_001	Y	N		
			수정	HNA_Deadmag_Modi_001	Y	N		
		하늘 편지 관리	목록	HNA_Lettermag_List_001	Y	N		
			상세	HNA_Lettermag_View_001	Y	N		
	고객센터	공지사항	목록	HNA_Customer_Noticelist_001	Y	N		
			등록	HNA_Customer_Noticeregi_001	Y	N		
			상세	HNA_Customer_Noticeview_001	Y	N		
			수정	HNA_Customer_Noticemodi_001	Y	N		
		1:1 상담	목록	HNA_Customer_Councellist_001	Y	N		
			상세	HNA_Customer_Councelview_001	Y	N		
			답변 등록	HNA_Customer_Replyrigo_001	Y	N		
			답변 수정	HNA_Customer_Replymodi_001	Y	N		
		자료실	목록	HNA_Customer_Referenlist_001	Y	N		
			등록	HNA_Customer_Referenrigo_001	Y	N		
			상세	HNA_Customer_Referenview_001	Y	N		
			수정	HNA_Customer_Referenmodi_001	Y	N		
	팝업관리	목록		HNA_Popup_List_001	Y	N		
		등록		HNA_Popup_Regi_001	Y	N		
			미리보기	HNA_Popup_Regi_002P	Y	N		
		상세		HNA_Popup_view_001	Y	N		
		수정		HNA_Popup_Modi_001	Y	N		
	브로슈어 신청관리	목록		HNA_Brochure_Applicationlist_001	Y	N		
								
								
								
								
								
								
								
								
